name,club,birth_date,age,place_of_birth,citizenship,appointment_date,contract_until_date,coaching_licence,avg_term_as_coach,preffered_formation,current_league,current_league_country
Gerardo Seoane,Bay. Leverkusen,1978-10-30,43.0,Luzern,Switzerland,2021-07-01,2024-06-30,Signature - ISCM AG,1.50 Years,4-4-2,Bundesliga,Germany
Mark van Bommel,Without Club,1977-04-22,44.0,Maasbracht,Netherlands,,,UEFA Pro Licence,0.93 Years,4-2-3-1,Bundesliga,Germany
Adi Hütter,Bor. M'gladbach,1970-02-11,51.0,Hohenems,Austria,2021-07-01,2024-06-30,Sand Christian ...,1.89 Years,3-4-2-1,Bundesliga,Germany
Sebastian Hoeneß,TSG Hoffenheim,1982-05-12,39.0,München,Germany,2020-08-02,2023-06-30,UEFA Pro Licence,1.64 Years,3-4-1-2,Bundesliga,Germany
Oliver Glasner,E. Frankfurt,1974-08-28,47.0,Salzburg,Austria,2021-07-01,2024-06-30,UEFA Pro Licence,1.52 Years,4-2-3-1,Bundesliga,Germany
"Pellegrino Matarazzo,VfB Stuttgart,1977-11-28,44,""Wayne, New Jersey"",United States,2019-12-30,2024-06-30,UEFA Pro Licence,1.51 Years,3-4-2-1,Bundesliga,Germany",,,,,,,,,,,,
Christian Streich,SC Freiburg,1965-06-11,56.0,Weil am Rhein,Germany,2011-12-29,2022-06-30,UEFA Pro Licence,8.68 Years,4-4-2 double 6,Bundesliga,Germany
Pál Dárdai,Without Club,1976-03-16,45.0,Pécs,Hungary,,,UEFA Pro Licence,1.37 Years,4-2-3-1,Bundesliga,Germany
Bo Svensson,1.FSV Mainz 05,1979-08-04,42.0,Skorping,Denmark,2021-01-04,2024-06-30,UEFA Pro Licence,1.12 Years,3-4-1-2,Bundesliga,Germany
Markus Weinzierl,FC Augsburg,1974-12-28,47.0,Straubing,Germany,2021-04-26,2022-06-30,BMS Sportconsulting ...,1.97 Years,4-4-2 double 6,Bundesliga,Germany
Steffen Baumgart,1. FC Köln,1972-01-05,50.0,Rostock,Germany,2021-07-01,2023-06-30,UEFA Pro Licence,1.64 Years,4-1-4-1,Bundesliga,Germany
Urs Fischer,Union Berlin,1966-02-20,55.0,Zürich,Switzerland,2018-07-01,2023-06-30,FPA Fairplay Agency ...,2.10 Years,3-4-1-2,Bundesliga,Germany
Frank Kramer,Arm. Bielefeld,1972-05-03,49.0,Memmingen,Germany,2021-03-02,2023-06-30,UEFA Pro Licence,1.23 Years,4-2-3-1,Bundesliga,Germany
Thomas Reis,VfL Bochum,1973-10-04,48.0,Wertheim,Germany,2019-09-06,2023-06-30,SEG,1.38 Years,4-2-3-1,Bundesliga,Germany
Stefan Leitl,Greuther Fürth,1977-08-29,44.0,München,Germany,2019-02-05,2023-06-30,ROOF,1.63 Years,4-3-1-2,Bundesliga,Germany
"Jesse Marsch,Without Club,1973-11-08,48,""Racine, Wisconsin"",United States,NA,NA,-,1.79 Years,4-4-2 double 6,Bundesliga,Germany",,,,,,,,,,,,
